symbol,trades,net_profit,swap
TSLA.NAS,17,-271.85,0.00
EURUSD,3,-27.48,-0.50
XBRUSD,6,-18.00,-18.53
SOXX.NAS,3,0.04,0.00
BTCUSD,11,14.53,0.00
MU.NAS,9,14.74,-0.06
XTIUSD,6,28.50,-18.30
AUDUSD,7,33.12,-0.27
DE40,58,45.23,-4.23
AAPL.NAS,21,52.48,0.00
NVDA.NAS,15,59.68,-0.05
XAUUSD,142,229.41,-192.03
