symbol,trades,net_profit,swap
XNGUSD,30,-669.60,18.46
XBRUSD,75,-355.50,-229.03
EURUSD,63,-322.04,-15.92
AAPL.NAS,176,-292.72,-0.05
SOXX.NAS,62,-1.47,0.00
XTIUSD,80,474.50,-378.28
NVDA.NAS,353,749.87,-3.17
AUDUSD,69,1500.83,-12.04
DE40,856,1776.58,-84.73
BTCUSD,318,2779.41,0.00
MU.NAS,399,23717.11,-2.07
TSLA.NAS,190,28209.71,0.17
XAUUSD,2184,61849.20,-2886.64
