strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
EMA Crossover Trade BUY,12350,135,67,49.6,1611.75,-3009.62,-1397.87,0.54,-3.79
SimpleTrendline SELL,26042502,63,19,30.2,621.84,-1936.18,-1314.34,0.32,2.69
United SuperEMA long,940001,34,17,50.0,1095.72,-1619.24,-523.52,0.68,-40.54
RSI Follow SELL,1001,1,0,0.0,0.00,-290.85,-290.85,0.00,2.02
RSI Reverse SELL,1002,13,3,23.1,34.40,-115.68,-81.28,0.30,-5.70
WP Sell,20260527,30,11,36.7,14.07,-75.31,-61.24,0.19,0.00
RSI Overbought Crossover Sell #,,4,2,50.0,20.73,-52.88,-32.15,0.39,0.32
RSI Follow BUY,1001,8,4,50.0,419.18,-433.35,-14.17,0.97,-55.37
RSI Reverse BUY,1002,1,1,100.0,35.84,0.00,35.84,999.00,0.00
RSI Scalping Sell,20001,143,81,56.6,7348.92,-7275.30,73.61,1.01,-4.96
RSI Oversold Crossover Buy,30,2,2,100.0,194.01,0.00,194.01,999.00,0.00
SimpleTrendline BUY,26042502,70,22,31.4,803.27,-475.11,328.16,1.69,-19.25
EMA Cross Distance SELL,1003,1,1,100.0,462.48,0.00,462.48,999.00,0.00
WP Buy,20260526,103,63,61.2,1732.74,-1144.99,587.75,1.51,5.93
Darvas Box Breakout,135790,1,1,100.0,700.72,0.00,700.72,999.00,-10.85
United SuperEMA short,940001,43,22,51.2,3328.63,-1428.21,1900.42,2.33,15.31
RSI Scalping Buy,129102315,205,126,61.5,9516.67,-7208.41,2308.26,1.32,-92.31
