symbol,trades,net_profit,swap
AAPL.NAS,185,-285.02,-0.01
XNGUSD,24,-101.70,3.84
SOXX.NAS,65,-0.57,0.00
EURUSD,64,53.71,-12.78
XBRUSD,57,58.00,-228.12
AUDUSD,68,95.98,-5.26
NVDA.NAS,348,500.43,-1.45
DE40,894,511.38,-66.89
XTIUSD,62,522.00,-338.19
BTCUSD,327,3926.02,0.00
MU.NAS,368,4089.96,-1.43
TSLA.NAS,197,5735.81,-0.04
XAUUSD,2680,30559.70,-2592.57
