strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
SimpleTrendline SELL,26042502,111,26,23.4,125.91,-451.32,-325.41,0.28,-0.04
Darvas Box Breakout,135790,18,9,50.0,131.84,-385.84,-254.00,0.34,7.56
SimpleTrendline BUY,26042503,119,40,33.6,191.90,-413.45,-221.55,0.46,-10.68
RSI Follow BUY,1001,18,6,33.3,41.58,-257.50,-215.92,0.16,-2.86
United SuperEMA short,940001,50,24,48.0,332.20,-498.77,-166.57,0.67,3.81
WP Buy,20260525,45,24,53.3,101.54,-182.77,-81.23,0.56,19.43
United SuperEMA long,940001,72,30,41.7,406.42,-464.51,-58.09,0.87,-16.32
RSI Oversold Crossover Buy,30,4,2,50.0,60.61,-99.68,-39.07,0.61,0.00
RSI Overbought Crossover Sell #,,14,11,78.6,104.65,-142.92,-38.27,0.73,2.71
RSI Reverse SELL,1002,15,7,46.7,113.23,-138.24,-25.01,0.82,18.54
EMA Crossover Trade BUY,12350,1,0,0.0,0.00,-6.96,-6.96,0.00,0.00
EMA Cross Distance BUY,1003,1,1,100.0,3.15,0.00,3.15,999.00,0.00
WP Sell,20260533,21,12,57.1,302.06,-288.46,13.60,1.05,-46.97
RSI Reverse BUY,1002,5,4,80.0,36.10,-1.89,34.21,19.10,0.00
RSI Scalping Sell,20003,148,84,56.8,5998.96,-3533.59,2465.37,1.70,-232.03
RSI Scalping Buy,123459123,292,153,52.4,7199.22,-4406.37,2792.85,1.63,-346.35
