symbol,trades,net_profit,swap
NVDA.NAS,65,-828.99,-0.22
BTCUSD,44,-437.06,0.00
EURUSD,6,-121.04,-0.17
XNGUSD,11,-58.00,0.00
DE40,73,-41.91,-2.66
XBRUSD,19,-12.00,4.03
SOXX.NAS,16,-0.11,0.00
AAPL.NAS,29,11.82,0.00
AUDUSD,11,170.13,-0.70
XAUUSD,304,210.24,-208.59
XTIUSD,20,626.50,1.88
MU.NAS,87,836.73,-0.07
TSLA.NAS,23,2519.53,-0.01
