symbol,trades,net_profit,swap
MU.NAS,276,-1258.52,-0.37
NVDA.NAS,250,-416.66,-0.63
XBRUSD,64,-141.50,-222.48
EURUSD,53,-110.93,-2.79
AAPL.NAS,145,-91.78,-0.01
XNGUSD,10,-44.20,0.00
SOXX.NAS,32,-0.18,0.00
AUDUSD,60,88.77,-2.78
DE40,555,351.69,-36.17
XTIUSD,64,597.50,-337.91
BTCUSD,281,5422.35,0.00
TSLA.NAS,133,7308.68,0.00
XAUUSD,1938,23096.38,-1504.98
