strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSIConsolidation SELL,2025042,84,40,47.6,86.77,-281.59,-194.82,0.31,-15.13
United SuperEMA long,940001,82,37,45.1,47.32,-239.13,-191.81,0.20,-14.70
WP Buy,20260526,72,38,52.8,94.40,-273.51,-179.11,0.35,22.59
RSI Overbought Crossover Sell #,,7,0,0.0,0.00,-134.31,-134.31,0.00,0.00
Darvas Box Breakout,135790,13,4,30.8,234.26,-337.09,-102.83,0.69,-3.99
SimpleTrendline BUY,26042503,135,36,26.7,170.92,-249.61,-78.69,0.68,-13.49
RSIConsolidation BUY,20250420,12,5,41.7,10.17,-72.37,-62.20,0.14,-1.71
RSI Reverse BUY,1002,9,3,33.3,8.32,-66.21,-57.89,0.13,-14.26
RSI Follow SELL,1001,3,1,33.3,0.01,-25.74,-25.73,0.00,1.21
RSI Reverse SELL,1002,11,4,36.4,21.56,-46.96,-25.40,0.46,0.00
EMA Cross Distance SELL,1003,2,0,0.0,0.00,-9.99,-9.99,0.00,0.00
EMA Cross Distance BUY,1003,2,1,50.0,1.83,-0.36,1.47,5.08,0.00
RSI Oversold Crossover Buy,7,3,3,100.0,16.58,0.00,16.58,999.00,0.00
RSI Follow BUY,1001,20,6,30.0,138.54,-118.79,19.75,1.17,-39.36
SimpleTrendline SELL,26042503,118,36,30.5,249.92,-214.55,35.37,1.16,-7.07
RSI Scalping Sell,129102315,208,107,51.4,2111.31,-1975.44,135.87,1.07,-94.37
United SuperEMA short,940001,72,33,45.8,443.29,-149.01,294.28,2.97,-24.94
RSI Scalping Buy,129102315,314,182,58.0,1852.34,-1404.10,448.24,1.32,-49.00
WP Sell,20260528,39,29,74.4,765.15,-192.60,572.55,3.97,-140.09
