symbol,trades,net_profit,swap
TSLA.NAS,47,-387.91,-0.01
AUDUSD,22,-127.01,-0.78
EURUSD,10,-34.37,-1.68
SOXX.NAS,9,-0.09,0.00
BTCUSD,39,15.34,0.00
MU.NAS,59,30.09,-0.08
DE40,134,44.08,-7.04
AAPL.NAS,50,52.15,0.00
NVDA.NAS,56,81.38,-0.11
XBRUSD,16,120.00,-41.10
XAUUSD,479,332.67,-270.71
XTIUSD,12,335.00,-72.80
