strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
Darvas Box Breakout,135790,4,1,25.0,0.60,-367.07,-366.47,0.00,0.00
RSI Overbought Crossover Sell #,,6,0,0.0,0.00,-237.23,-237.23,0.00,0.00
United SuperEMA long,940001,54,28,51.9,107.05,-303.46,-196.41,0.35,-15.57
RSI Reverse BUY,1002,5,2,40.0,11.95,-202.62,-190.67,0.06,-5.71
SimpleTrendline BUY,26042503,57,21,36.8,121.18,-220.83,-99.65,0.55,-1.05
WP Buy,20260526,35,19,54.3,95.88,-114.50,-18.62,0.84,-3.81
SimpleTrendline SELL,26042503,47,15,31.9,132.29,-146.71,-14.42,0.90,-13.27
RSI Follow BUY,1001,7,2,28.6,6.81,-19.68,-12.87,0.35,0.00
EMA Cross Distance BUY,1003,1,1,100.0,9.15,0.00,9.15,999.00,0.00
RSI Oversold Crossover Buy,7,2,2,100.0,14.94,0.00,14.94,999.00,0.00
RSI Reverse SELL,1002,4,3,75.0,27.43,-3.00,24.43,9.14,0.00
RSI Scalping Sell,129102315,133,67,50.4,2225.68,-2193.71,31.97,1.01,-114.16
WP Sell,20260528,24,15,62.5,574.81,-200.54,374.27,2.87,-28.70
United SuperEMA short,940001,28,16,57.1,603.15,-94.77,508.38,6.36,-24.80
RSI Scalping Buy,129102315,171,99,57.9,2260.07,-1087.10,1172.97,2.08,-75.41
