symbol,trades,net_profit,swap
XBRUSD,77,-472.50,-222.66
BTCUSD,283,-144.37,0.00
AUDUSD,67,-73.07,-0.96
EURUSD,43,-27.74,-2.01
XNGUSD,27,-23.70,0.38
SOXX.NAS,53,-0.42,0.00
DE40,777,3.32,-37.95
AAPL.NAS,189,9.62,0.00
NVDA.NAS,287,12.45,-0.03
XTIUSD,79,365.50,-332.68
TSLA.NAS,172,484.08,0.00
XAUUSD,2258,966.01,-251.86
MU.NAS,325,1022.96,-0.01
