symbol,trades,net_profit,swap
XNGUSD,30,-837.00,23.08
AAPL.NAS,170,-712.62,-0.07
XBRUSD,77,-199.00,-212.05
SOXX.NAS,61,-2.22,0.00
EURUSD,60,38.88,-24.19
XTIUSD,79,698.50,-363.29
NVDA.NAS,304,1437.94,-4.53
AUDUSD,67,1710.86,-15.90
DE40,776,2122.12,-139.11
BTCUSD,285,13110.12,0.00
MU.NAS,337,25618.45,-3.49
TSLA.NAS,184,35240.44,0.26
XAUUSD,2442,133617.58,-6480.16
