symbol,trades,net_profit,swap
XNGUSD,30,-835.50,23.03
AAPL.NAS,175,-583.01,-0.07
XBRUSD,76,-202.50,-205.55
EURUSD,61,-35.54,-26.69
SOXX.NAS,62,-2.16,0.00
XTIUSD,78,691.00,-354.29
AUDUSD,66,1756.10,-16.64
DE40,786,2249.66,-114.75
NVDA.NAS,315,4596.02,-4.77
BTCUSD,290,13627.42,0.00
TSLA.NAS,186,33624.38,0.25
MU.NAS,349,45198.52,-3.52
XAUUSD,2222,141433.29,-7334.57
