symbol,trades,net_profit,swap
BTCUSD,63,-1099.61,0.00
EURUSD,13,-140.97,-1.04
XNGUSD,30,-116.30,3.84
XBRUSD,41,-77.00,-1.62
DE40,134,-59.19,-4.52
SOXX.NAS,27,-0.35,0.00
NVDA.NAS,101,43.47,-0.32
AAPL.NAS,44,49.25,0.00
AUDUSD,19,252.20,-1.54
XTIUSD,36,733.50,16.11
TSLA.NAS,40,2719.68,-0.01
XAUUSD,512,3613.28,-203.17
MU.NAS,139,6176.04,-0.11
