strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSIConsolidation SELL,2025042,50,19,38.0,82.94,-877.47,-794.53,0.09,-37.42
SimpleTrendline BUY,26042502,211,53,25.1,184.70,-898.83,-714.13,0.21,-9.53
RSI Reverse SELL,1002,20,7,35.0,40.23,-330.60,-290.37,0.12,-2.85
RSIConsolidation BUY,20250420,11,3,27.3,0.27,-280.55,-280.28,0.00,-1.71
Darvas Box Breakout,135790,20,7,35.0,39.71,-217.71,-178.00,0.18,0.00
RSI Follow BUY,1001,21,6,28.6,562.69,-610.09,-47.40,0.92,-36.84
RSI Oversold Crossover Buy,30,2,1,50.0,2.40,-12.22,-9.82,0.20,0.00
EMA Cross Distance BUY,1003,1,1,100.0,9.80,0.00,9.80,999.00,0.00
WP Buy,20260527,141,78,55.3,286.13,-275.82,10.31,1.04,-3.21
RSI Reverse BUY,1002,3,3,100.0,22.04,0.00,22.04,999.00,0.00
RSI Overbought Crossover Sell #,,7,7,100.0,60.60,0.00,60.60,999.00,0.00
WP Sell,20260524,32,15,46.9,670.52,-487.68,182.84,1.37,-159.51
EMA Crossover Trade BUY,12350,195,95,48.7,1852.67,-1509.99,342.68,1.23,-9.88
United SuperEMA long,940001,125,71,56.8,818.49,-395.04,423.45,2.07,-23.48
United SuperEMA short,940001,61,22,36.1,2028.82,-741.71,1287.11,2.74,-8.13
RSI Scalping Sell,20003,314,174,55.4,5779.42,-4448.38,1331.04,1.30,-55.14
RSI Scalping Buy,123459123,500,257,51.4,7980.67,-4652.63,3328.04,1.72,-127.63
SimpleTrendline SELL,26042502,174,49,28.2,6939.65,-1469.36,5470.29,4.72,-11.24
