strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSI Follow BUY,1001,20,6,30.0,1053.41,-2641.07,-1587.66,0.40,-97.08
SimpleTrendline BUY,26042502,207,58,28.0,492.95,-1517.82,-1024.87,0.32,-11.29
Darvas Box Breakout,135790,19,6,31.6,92.82,-496.78,-403.96,0.19,0.00
EMA Crossover Trade BUY,12350,179,87,48.6,4107.96,-4452.93,-344.97,0.92,-14.10
WP Buy,20260527,131,74,56.5,279.10,-322.97,-43.88,0.86,-4.09
RSI Oversold Crossover Buy,30,2,1,50.0,7.08,-26.32,-19.24,0.27,0.00
EMA Cross Distance BUY,1003,1,1,100.0,17.15,0.00,17.15,999.00,0.00
RSI Reverse BUY,1002,3,3,100.0,40.91,0.00,40.91,999.00,0.00
RSI Overbought Crossover Sell #,,7,7,100.0,79.20,0.00,79.20,999.00,0.00
RSI Reverse SELL,1002,21,6,28.6,592.39,-331.81,260.58,1.79,-14.28
United SuperEMA long,940001,135,70,51.9,1871.85,-1290.06,581.79,1.45,-58.31
WP Sell,20260524,30,14,46.7,2138.25,-492.29,1645.96,4.34,-63.21
United SuperEMA short,940001,70,23,32.9,6559.55,-4135.30,2424.25,1.59,-54.01
RSI Scalping Sell,20003,295,165,55.9,11791.30,-8927.80,2863.50,1.32,-114.55
SimpleTrendline SELL,26042502,171,50,29.2,8502.46,-3341.65,5160.81,2.54,-26.19
RSI Scalping Buy,123459123,477,239,50.1,18499.74,-8632.74,9867.00,2.14,-313.88
