symbol,trades,net_profit,swap
NVDA.NAS,219,-727.37,-0.74
XTIUSD,38,-456.00,-243.42
XBRUSD,34,-110.00,-176.43
XNGUSD,1,-62.00,0.00
AAPL.NAS,129,-34.15,-0.05
SOXX.NAS,30,-0.18,0.00
DE40,1,0.20,0.00
EURUSD,36,195.03,-4.68
AUDUSD,49,442.84,-2.07
BTCUSD,192,464.76,0.00
TSLA.NAS,110,7962.25,0.04
XAUUSD,1125,9343.40,-1197.15
