strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSIConsolidation SELL,2025042,365,175,47.9,3718.81,-7018.54,-3299.73,0.53,-247.00
SimpleTrendline SELL,26042503,682,203,29.8,6660.81,-8661.09,-2000.28,0.77,-68.86
RSIConsolidation BUY,20250420,41,11,26.8,255.35,-1836.36,-1581.01,0.14,-70.29
RSI Reverse SELL,1002,89,34,38.2,614.03,-1792.22,-1178.19,0.34,-26.45
RSI Follow BUY,1001,83,21,25.3,493.54,-1635.13,-1141.59,0.30,-9.91
United SuperEMA long,940001,442,208,47.1,3899.31,-5008.83,-1109.52,0.78,-175.62
RSI Follow SELL,1001,5,1,20.0,0.01,-378.72,-378.71,0.00,3.63
RSI Overbought Crossover Sell #,,43,26,60.5,340.42,-442.00,-101.58,0.77,4.31
WP Sell,20260528,203,103,50.7,1866.52,-1813.84,52.68,1.03,-663.49
EMA Cross Distance BUY,1003,6,5,83.3,57.19,-0.36,56.83,158.86,0.00
RSI Reverse BUY,1002,24,14,58.3,293.08,-203.24,89.84,1.44,-14.26
SimpleTrendline BUY,26042503,743,228,30.7,4907.19,-4687.73,219.47,1.05,-181.72
RSI Oversold Crossover Buy,7,18,13,72.2,546.62,-178.60,368.02,3.06,0.00
WP Buy,20260526,509,275,54.0,3673.47,-3273.26,400.21,1.12,79.08
EMA Cross Distance SELL,1003,3,1,33.3,1387.44,-9.99,1377.45,138.88,0.00
Darvas Box Breakout,135790,76,37,48.7,3224.30,-1703.48,1520.82,1.89,-150.64
EMA Crossover Trade BUY,12350,489,262,53.6,18161.26,-10598.31,7562.95,1.71,-187.58
United SuperEMA short,940001,315,147,46.7,19515.12,-7382.38,12132.74,2.64,-66.67
RSI Scalping Sell,129102315,1023,578,56.5,49458.64,-34181.15,15277.49,1.45,-492.29
RSI Scalping Buy,129102315,1684,935,55.5,70007.15,-37659.28,32347.87,1.86,-935.99
