symbol,trades,net_profit,swap
NVDA.NAS,369,-1120.52,-1.43
AAPL.NAS,195,-246.21,-0.01
XNGUSD,30,-144.60,3.85
XBRUSD,79,-140.00,-229.04
SOXX.NAS,68,-0.64,0.00
AUDUSD,75,85.18,-4.79
EURUSD,67,112.36,-9.35
DE40,912,501.65,-67.72
XTIUSD,82,800.00,-341.89
BTCUSD,344,4271.12,0.00
MU.NAS,417,5702.70,-1.46
TSLA.NAS,207,10011.67,-0.02
XAUUSD,2828,35074.57,-2226.74
