symbol,trades,net_profit,swap
TSLA.NAS,41,-409.95,-0.02
AUDUSD,19,-210.96,-1.01
EURUSD,9,-48.44,-3.25
SOXX.NAS,8,-0.06,0.00
DE40,103,33.02,-6.19
BTCUSD,28,43.92,0.00
AAPL.NAS,45,97.83,-0.01
XBRUSD,15,98.00,-41.09
NVDA.NAS,40,155.32,-0.18
XTIUSD,11,294.50,-23.79
MU.NAS,43,327.54,-0.12
XAUUSD,363,905.39,-496.08
