symbol,trades,net_profit,swap
XNGUSD,30,-835.50,23.07
AAPL.NAS,171,-583.76,-0.07
XBRUSD,71,-93.00,-205.45
EURUSD,61,-82.22,-27.50
SOXX.NAS,61,-2.17,0.00
XTIUSD,73,701.50,-93.98
AUDUSD,66,1692.10,-16.59
DE40,779,2103.00,-127.01
NVDA.NAS,312,2127.76,-4.70
BTCUSD,286,13296.14,0.00
MU.NAS,341,27582.35,-3.26
TSLA.NAS,184,39123.40,0.25
XAUUSD,2169,120278.67,-7073.89
