symbol,trades,net_profit,swap
NVDA.NAS,390,-538.58,-0.49
AAPL.NAS,195,-198.25,-0.01
XNGUSD,30,-100.20,2.69
XBRUSD,81,-96.00,-228.12
SOXX.NAS,73,-0.70,0.00
AUDUSD,77,22.74,-3.80
EURUSD,67,69.58,-8.70
DE40,946,522.62,-61.94
XTIUSD,84,858.00,-340.07
BTCUSD,358,2589.92,0.00
MU.NAS,428,3827.48,-0.42
TSLA.NAS,213,7305.70,-0.06
XAUUSD,2916,26059.23,-2042.35
