strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
RSI Reverse SELL,1002,16,3,18.8,6.14,-563.76,-557.62,0.01,-8.56
SimpleTrendline BUY,26042502,111,37,33.3,327.90,-793.17,-465.27,0.41,-30.68
EMA Cross Distance BUY,1003,1,0,0.0,0.00,-326.04,-326.04,0.00,-18.83
RSI Reverse BUY,1002,2,0,0.0,0.00,-281.95,-281.95,0.00,-11.99
United SuperEMA long,940001,74,31,41.9,354.75,-610.92,-256.17,0.58,-28.53
WP Sell,20260527,26,13,50.0,354.82,-574.05,-219.23,0.62,-103.80
Darvas Box Breakout,135790,11,5,45.5,48.91,-171.06,-122.15,0.29,0.00
RSI Oversold Crossover Buy,30,3,1,33.3,12.90,-112.54,-99.64,0.11,0.00
RSI Overbought Crossover Sell #,,3,1,33.3,18.19,-98.32,-80.13,0.19,1.08
RSI Follow BUY,1001,6,2,33.3,22.76,-86.80,-64.04,0.26,0.00
WP Buy,20260527,33,19,57.6,65.14,-61.62,3.52,1.06,-0.75
SimpleTrendline SELL,26042502,87,29,33.3,513.51,-462.66,50.85,1.11,-11.58
United SuperEMA short,940001,38,17,44.7,1188.15,-423.02,765.13,2.81,-51.67
EMA Crossover Trade BUY,12350,85,49,57.6,1614.44,-407.26,1207.18,3.96,-49.07
RSI Scalping Buy,123459123,136,82,60.3,2209.70,-913.12,1296.58,2.42,-40.52
RSI Scalping Sell,129102315,72,43,59.7,2374.58,-698.43,1676.15,3.40,-54.22
