symbol,trades,net_profit,swap
XNGUSD,30,-805.50,23.08
AAPL.NAS,183,-589.54,-0.07
XBRUSD,76,-80.50,-208.04
EURUSD,62,-61.63,-28.69
SOXX.NAS,63,-2.10,0.00
XTIUSD,76,593.00,-336.10
DE40,829,1706.93,-119.05
AUDUSD,66,1926.45,-14.41
NVDA.NAS,334,3069.85,-5.07
BTCUSD,304,12576.79,0.00
TSLA.NAS,200,38126.53,0.13
XAUUSD,2461,130728.31,-6077.72
