strategy,magic,trades,wins,win_pct,gross_profit,gross_loss,net_profit,profit_factor,swap
SimpleTrendline BUY,26042502,116,28,24.1,135.59,-626.98,-491.39,0.22,-7.95
SimpleTrendline SELL,26042502,91,22,24.2,246.00,-656.00,-410.00,0.38,-4.41
United SuperEMA short,940001,31,9,29.0,95.46,-367.90,-272.44,0.26,2.81
RSI Reverse SELL,1002,15,4,26.7,15.21,-249.50,-234.29,0.06,-14.28
WP Sell,20260524,21,9,42.9,160.76,-392.26,-231.50,0.41,-24.03
WP Buy,20260527,56,28,50.0,141.29,-220.74,-79.45,0.64,-1.84
RSI Follow BUY,1001,8,2,25.0,2.16,-61.41,-59.25,0.04,-5.14
Darvas Box Breakout,135790,5,1,20.0,4.03,-33.94,-29.91,0.12,0.00
RSI Oversold Crossover Buy,30,1,0,0.0,0.00,-26.32,-26.32,0.00,0.00
EMA Crossover Trade BUY,12350,69,37,53.6,545.31,-541.11,4.20,1.01,-8.40
RSI Reverse BUY,1002,1,1,100.0,17.15,0.00,17.15,999.00,0.00
EMA Cross Distance BUY,1003,1,1,100.0,17.15,0.00,17.15,999.00,0.00
RSI Scalping Buy,123459123,219,112,51.1,3283.96,-3256.74,27.22,1.01,-102.70
United SuperEMA long,940001,63,38,60.3,344.38,-295.78,48.60,1.16,-30.97
RSI Overbought Crossover Sell #,,7,7,100.0,79.20,0.00,79.20,999.00,0.00
RSI Scalping Sell,20003,131,76,58.0,5577.49,-3032.34,2545.15,1.84,-16.31
